drug_key,condition_key,drug_label,condition_label,n_trials,phase_breakdown,sponsors,tickers,all_n_trials,all_n_scored,all_weighted_score,all_mean_score,all_pooled_drug_rate,all_drug_at_risk_total,all_drug_affected_total,pivotal_n_trials,pivotal_n_scored,pivotal_weighted_score,pivotal_mean_score,pivotal_pooled_drug_rate,pivotal_drug_at_risk_total,pivotal_drug_affected_total
mesh:C000588548,mesh:D003093,GED0301,"Colitis, Ulcerative",1,1 P2,Celgene,BMY,1,0,,,0.06666666666666667,75,5,0,0,,,,0,0
mesh:C000588548,mesh:D003424,GED0301,Crohn Disease,1,1 P1,Celgene,BMY,1,0,,,,0,0,0,0,,,,0,0
mesh:C000588548,raw:healthy volunteers,GED0301,Healthy Volunteers,1,1 P1,Celgene,BMY,1,0,,,,0,0,0,0,,,,0,0
mesh:C000588857,mesh:D001172,guselkumab,"Arthritis, Rheumatoid",1,1 P2,"Janssen Research & Development, LLC",JNJ,1,1,-0.0104664685359865,-0.0104664685359865,0.045871559633027525,218,10,0,0,,,,0,0
mesh:C000588857,mesh:D003424,guselkumab,Crohn Disease,1,1 P3,Janssen Pharmaceutical K.K.,JNJ,1,0,,,0.07894736842105263,38,3,1,0,,,0.07894736842105263,38,3
mesh:C000588857,mesh:D011125,guselkumab,Adenomatous Polyposis Coli,1,1 P1,"Janssen Research & Development, LLC",JNJ,1,0,,,,0,0,0,0,,,,0,0
mesh:C000588857,mesh:D011565,guselkumab,Psoriasis,17,"1 P4, 11 P3, 2 P2, 2 P1, 1 ?","Janssen Inc., Janssen Pharmaceutical K.K., Janssen Research & Development, LLC, Janssen-Cilag G.m.b.H, Janssen-Cilag International NV, Janssen-Cilag Ltd., Janssen-Cilag S.p.A.",JNJ,17,7,0.011442224768611032,-0.0007853858203006712,0.051108870967741936,9920,507,12,6,0.011902451235756319,-0.001957843842012167,0.05277660025434506,9436,498
mesh:C000588857,mesh:D015535,guselkumab,"Arthritis, Psoriatic",5,"3 P3, 2 P2","Janssen Pharmaceutica N.V., Belgium, Janssen Research & Development, LLC",JNJ,5,3,0.008116967345946496,0.0153839865604814,0.04794520547945205,1606,77,3,2,0.0033576937337622334,0.0010664104627316996,0.047459893048128345,1496,71
mesh:C000588857,mesh:D017497,guselkumab,Hidradenitis Suppurativa,1,1 P2,"Janssen Research & Development, LLC",JNJ,1,1,-0.0206750438340151,-0.0206750438340151,0.03017241379310345,232,7,0,0,,,,0,0
mesh:C000588857,mesh:D019066,guselkumab,Facies,1,1 ?,Janssen-Cilag S.p.A.,JNJ,1,0,,,,0,0,0,0,,,,0,0
mesh:C000588857,raw:healthy,guselkumab,Healthy,6,6 P1,"Janssen Pharmaceutical K.K., Janssen Research & Development, LLC",JNJ,6,0,,,,0,0,0,0,,,,0,0
mesh:C000588857,raw:moderate plaque psoriasis,guselkumab,Moderate Plaque Psoriasis,1,1 P3,"Janssen Research & Development, LLC",JNJ,1,1,0.0395084485407066,0.0395084485407066,0.05333333333333334,225,12,1,1,0.0395084485407066,0.0395084485407066,0.05333333333333334,225,12
mesh:C000588857,raw:plaque psoriasis,guselkumab,Plaque Psoriasis,2,"1 P4, 1 P3","Eli Lilly and Company, Janssen Research & Development, LLC","JNJ, LLY",2,0,,,0.02158273381294964,1946,42,2,0,,,0.02158273381294964,1946,42
mesh:C000588857,raw:scalp psoriasis,guselkumab,Scalp Psoriasis,1,1 P3,"Janssen Research & Development, LLC",JNJ,1,0,,,,0,0,1,0,,,,0,0
mesh:C000589391,mesh:D009369,"6-(1H-indazol-6-yl)-N-(4-morpholinophenyl)imidazo(1,2-a)pyrazin-8-amine",Neoplasms,1,1 P1,Gilead Sciences,GILD,1,0,,,0.0,55,0,0,0,,,,0,0
mesh:C000589391,mesh:D015451,"6-(1H-indazol-6-yl)-N-(4-morpholinophenyl)imidazo(1,2-a)pyrazin-8-amine","Leukemia, Lymphocytic, Chronic, B-Cell",1,1 P2,Gilead Sciences,GILD,1,0,,,0.4444444444444444,36,16,0,0,,,,0,0
